"Country","Capital.City","Latitude","Longitude","Population","Capital.Type","tz","sunrise","sunset","solar_noon","day_length","civil_twilight_begin","civil_twilight_end","nautical_twilight_begin","nautical_twilight_end","astronomical_twilight_begin","astronomical_twilight_end","date"
"Afghanistan","Kabul",34.5289,69.1725,4011770,"Capital","Asia/Kabul",06:58:31,16:54:34,11:56:32,09:56:03,06:32:08,17:20:57,06:00:44,17:52:21,05:30:07,18:22:58,2020-01-01
"Albania","Tiranë (Tirana)",41.3275,19.8189,475577,"Capital","Europe/Tirane",07:04:57,16:23:06,11:44:01,09:18:09,06:35:26,16:52:36,06:00:44,17:27:18,05:27:11,18:00:52,2020-01-01
"Algeria","El Djazaïr  (Algiers)",36.7525,3.042,2693542,"Capital","Africa/Algiers",07:58:51,17:43:26,12:51:09,09:44:35,07:31:35,18:10:42,06:59:15,18:43:02,06:27:47,19:14:30,2020-01-01
"American Samoa","Pago Pago",-14.2781,-170.7025,48526,"Capital","Pacific/Apia",06:56:35,19:56:07,13:26:21,12:59:32,06:34:19,20:18:23,06:06:37,20:46:06,05:38:17,21:14:26,2020-01-01
"Andorra","Andorra la Vella",42.5078,1.5211,22614,"Capital","Europe/Andorra",08:21:53,17:32:35,12:57:14,09:10:42,07:51:41,18:02:47,07:16:17,18:38:11,06:42:05,19:12:22,2020-01-01
"Angola","Luanda",-8.8368,13.2343,7774200,"Capital","Africa/Luanda",05:50:20,18:30:23,12:10:22,12:40:03,05:28:39,18:52:05,05:01:49,19:18:55,04:34:35,19:46:09,2020-01-01
"Anguilla","The Valley",18.217,-63.0578,1402,"Capital","America/Anguilla",06:42:40,17:48:36,12:15:38,11:05:56,06:20:16,18:11:00,05:53:07,18:38:09,05:26:17,19:04:59,2020-01-01
"Antigua and Barbuda","St. John's",17.1172,-61.8457,20764,"Capital","America/Antigua",06:35:47,17:45:47,12:10:47,11:10:00,06:13:31,18:08:03,05:46:32,18:35:02,05:19:50,19:01:44,2020-01-01
"Argentina","Buenos Aires",-34.6051,-58.4004,14966530,"Capital","America/Argentina/Buenos_Aires",05:42:44,20:11:16,12:57:00,14:28:32,05:14:53,20:39:06,04:38:43,21:15:16,03:59:01,21:54:59,2020-01-01
"Armenia","Yerevan",40.182,44.5146,1080324,"Capital","Asia/Yerevan",08:22:40,17:47:45,13:05:12,09:25:05,07:53:46,18:16:38,07:19:43,18:50:41,06:46:44,19:23:40,2020-01-01
"Aruba","Oranjestad",12.524,-70.027,29877,"Capital","America/Aruba",07:00:14,18:26:48,12:43:31,11:26:34,06:38:28,18:48:34,06:12:00,19:15:02,05:45:42,19:41:20,2020-01-01
"Australia","Canberra",-35.2835,149.1281,447692,"Capital","Australia/Sydney",05:50:19,20:22:54,13:06:37,14:32:35,05:22:07,20:51:06,04:45:24,21:27:50,04:04:51,22:08:22,2020-01-01
